No.,Time,Source,Destination,Protocol,Length,Info,,,Time 1,Time 2,,Delay 
54,4.339723,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,54,"49328  >  https(443) [FIN, ACK] Seq=518 Ack=1 Win=65792 Len=0",,,4.339723,4.339873,,0.00015
55,4.339873,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,54,"49329  >  https(443) [FIN, ACK] Seq=518 Ack=1 Win=65792 Len=0",,,4.339873,4.340238,,0.000365
56,4.340238,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TLSv1.3,292,Application Data,,,4.340238,4.340313,,7.5E-05
57,4.340313,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TLSv1.3,122,Application Data,,,4.340313,4.340371,,5.8E-05
58,4.340371,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TLSv1.3,122,Application Data,,,4.340371,4.340463,,9.2E-05
59,4.340463,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TLSv1.3,353,Application Data,,,4.340463,4.340507,,4.4E-05
60,4.340507,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TLSv1.3,589,Application Data,,,4.340507,4.340548,,4.1E-05
61,4.340548,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TLSv1.3,849,Application Data,,,4.340548,4.34144,,0.000892
62,4.34144,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TLSv1.3,1454,"Server Hello, Change Cipher Spec",,,4.34144,4.34147,,3E-05
63,4.34147,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,54,"49328  >  https(443) [RST, ACK] Seq=519 Ack=1401 Win=0 Len=0",,,4.34147,4.342697,,0.001227
64,4.342697,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TLSv1.3,1326,Application Data,,,4.342697,4.343097,,0.0004
65,4.343097,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TLSv1.3,1454,"Server Hello, Change Cipher Spec",,,4.343097,4.343118,,2.1E-05
66,4.343118,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,54,"49329  >  https(443) [RST, ACK] Seq=519 Ack=1401 Win=0 Len=0",,,4.343118,4.344809,,0.001691
67,4.344809,MargaGibran-PC,google.com,TLSv1.3,118,"Change Cipher Spec, Application Data",,,4.344809,4.345077,,0.000268
68,4.345077,MargaGibran-PC,google.com,TLSv1.3,146,Application Data,,,,,,
69,4.345293,MargaGibran-PC,google.com,TLSv1.3,285,Application Data,,,,Total Delay ,,0.484461
70,4.345354,MargaGibran-PC,google.com,TLSv1.3,845,Application Data,,,,,,
71,4.350696,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TLSv1.3,1325,Application Data,,,,,,
73,4.378444,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,https(443)  >  49327 [ACK] Seq=2672 Ack=582 Win=22976 Len=0,,,,,,
74,4.378595,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,https(443)  >  49329 [ACK] Seq=2672 Ack=519 Win=22912 Len=0,,,,,,
75,4.378596,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,https(443)  >  49328 [ACK] Seq=2673 Ack=519 Win=22912 Len=0,,,,,,
76,4.385655,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,https(443)  >  49327 [ACK] Seq=2672 Ack=674 Win=23072 Len=0,,,,,,
77,4.385828,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,https(443)  >  49327 [ACK] Seq=2672 Ack=912 Win=23296 Len=0,,,,,,
